Date,Hour,Temperature,Humidity
2023-07-04,12:10:00,29.40,68.00
2023-07-04,12:15:00,29.40,68.00
2023-07-04,12:20:00,29.40,68.00
2023-07-04,12:25:00,29.40,68.00
2023-07-04,12:30:00,29.40,68.00
2023-07-04,12:35:00,29.30,68.00
2023-07-04,12:40:00,29.30,67.00
2023-07-04,12:45:00,29.30,67.00
2023-07-04,12:50:00,29.30,67.00
2023-07-04,12:55:00,29.30,67.00
2023-07-04,13:00:00,29.30,66.00
2023-07-04,13:05:00,29.40,67.00
2023-07-04,13:10:00,29.40,67.00
2023-07-04,13:15:00,29.40,67.00
2023-07-04,13:20:00,29.40,67.00
2023-07-04,13:25:00,29.40,67.00
2023-07-04,13:30:00,29.40,67.00
2023-07-04,13:35:00,29.40,67.00
2023-07-04,13:40:00,29.40,66.00
2023-07-04,13:45:00,29.50,66.00
2023-07-04,13:50:00,29.50,66.00
2023-07-04,13:55:00,29.50,66.00
2023-07-07,19:10:00,28.90,68.00
2023-07-07,19:15:00,28.80,68.00
2023-07-07,19:20:00,28.50,69.00
2023-07-07,19:25:00,28.30,70.00
2023-07-07,19:30:00,28.20,71.00
2023-07-07,19:35:00,28.20,71.00
2023-07-07,19:40:00,28.20,70.00
2023-07-07,19:45:00,28.20,70.00
2023-07-07,19:50:00,28.10,70.00
2023-07-07,19:55:00,28.20,70.00
2023-07-07,20:00:00,28.20,70.00
2023-07-07,20:05:00,28.20,69.00
2023-07-07,20:10:00,28.20,69.00
2023-07-07,20:15:00,28.20,69.00
2023-07-07,20:20:00,28.20,68.00
2023-07-07,20:25:00,28.20,68.00
2023-07-07,20:30:00,28.20,68.00
2023-07-07,20:35:00,28.20,68.00
2023-07-07,20:40:00,28.20,68.00
2023-07-07,20:45:00,28.20,68.00
2023-07-07,20:50:00,28.20,68.00
2023-07-07,20:55:00,28.20,68.00
2023-07-07,21:00:00,28.20,68.00
2023-07-07,21:05:00,28.20,68.00
2023-07-07,21:10:00,28.20,68.00
2023-07-07,21:15:00,28.20,68.00
2023-07-07,21:20:00,28.20,68.00
2023-07-07,21:25:00,28.20,68.00
2023-07-07,21:30:00,28.20,68.00
2023-07-07,21:35:00,28.20,68.00
2023-07-07,21:40:00,28.20,68.00
2023-07-07,21:45:00,28.20,68.00
2023-07-07,21:50:00,28.30,68.00
2023-07-07,21:55:00,28.30,68.00
2023-07-07,22:00:00,28.30,68.00
2023-07-07,22:05:00,28.30,69.00
2023-07-07,22:10:00,28.30,69.00
2023-07-07,22:15:00,28.30,69.00
2023-07-07,22:20:00,28.30,69.00
2023-07-07,22:25:00,28.20,69.00
2023-07-07,22:30:00,28.20,70.00
2023-07-07,22:35:00,28.20,70.00
2023-07-07,22:40:00,28.20,70.00
2023-07-07,22:45:00,28.20,70.00
2023-07-07,22:50:00,28.20,70.00
2023-07-07,22:55:00,28.20,70.00
2023-07-07,23:00:00,28.20,70.00
2023-07-07,23:05:00,28.20,70.00
2023-07-07,23:10:00,28.20,70.00
2023-07-07,23:15:00,28.20,70.00
2023-07-07,23:20:00,28.20,70.00
2023-07-07,23:25:00,28.20,70.00
2023-07-07,23:30:00,28.00,71.00
2023-07-07,23:35:00,27.80,72.00
2023-07-07,23:40:00,27.70,72.00
2023-07-07,23:45:00,27.60,72.00
2023-07-07,23:50:00,27.50,72.00
2023-07-07,23:55:00,27.30,73.00
2023-07-08,00:00:00,27.20,74.00
2023-07-08,00:05:00,27.10,74.00
2023-07-08,00:10:00,27.10,74.00
2023-07-08,00:15:00,27.10,74.00
2023-07-08,00:20:00,27.10,74.00
2023-07-08,00:25:00,27.10,74.00
2023-07-08,00:30:00,27.10,74.00
2023-07-08,00:35:00,27.20,73.00
2023-07-08,00:40:00,27.40,73.00
2023-07-08,00:45:00,27.50,73.00
2023-07-08,00:50:00,27.50,72.00
2023-07-08,00:55:00,27.60,72.00
2023-07-08,01:00:00,27.70,71.00
2023-07-08,01:05:00,27.70,72.00
2023-07-08,01:10:00,27.60,72.00
2023-07-08,01:15:00,27.50,73.00
2023-07-08,01:20:00,27.50,73.00
2023-07-08,01:25:00,27.50,73.00
2023-07-08,01:30:00,27.60,72.00
2023-07-08,01:35:00,27.60,72.00
2023-07-08,01:40:00,27.60,71.00
2023-07-08,01:45:00,27.60,71.00
2023-07-08,01:50:00,27.60,71.00
2023-07-08,01:55:00,27.70,71.00
2023-07-08,02:00:00,27.70,71.00
2023-07-08,02:05:00,27.80,71.00
2023-07-08,02:10:00,27.80,71.00
2023-07-08,02:15:00,27.80,71.00
2023-07-08,02:20:00,27.90,71.00
